open,high,low,close,volume,EMA_FAST,EMA_SLOW,MACD,RSI,BB_MIDDLE,BB_UPPER,BB_LOWER,ADX,STOCH,MFI,VOL,OBV,ATR,score,score_details,score_signal,Asset
61735.98,61885.9,61668.06,61822.01,462.84734,61808.896430038854,,,38.441110346784534,62030.221000000005,63428.678475196364,60631.763524803646,552.1385714285643,59.0320079246355,23.06196872591912,499.33843571428577,-3928.49491,552.1385714285716,0.5,"['ADX (552.14) im Trigger [20, 999]']",0,BTCUSDT
61822.01,62002.39,61785.51,61919.38,528.52742,61826.11764377133,62053.30940579968,-227.19176202834933,48.84310498760343,61955.389500000005,63192.480759799604,60718.298240200405,464.0964285714217,81.05329512889323,30.762290655960445,478.4693885714286,-3399.96749,464.0964285714285,0.5,"['ADX (464.10) im Trigger [20, 999]']",0,BTCUSDT
61919.38,62198.22,61847.04,62002.71,824.67931,61853.587687726875,62049.02494345744,-195.43725573056872,62.819926493456165,61890.155999999995,62952.291679337635,60828.020320662356,416.32428571429045,88.45336105167158,38.61075133278812,543.4816214285714,-2575.28818,416.3242857142858,1.3,"['RSI (62.82) im Trigger [55, 80]', 'ADX (416.32) im Trigger [20, 999]']",1,BTCUSDT
62002.71,62040.01,61844.49,62007.99,483.17523,61877.56492846836,62045.58678870669,-168.021860238332,61.088242972389125,61835.655000000006,62736.4376237573,60934.87237624271,396.64714285713853,88.76519294593197,41.12666955299586,556.5115071428571,-2092.11295,396.6471428571432,1.3,"['RSI (61.09) im Trigger [55, 80]', 'ADX (396.65) im Trigger [20, 999]']",1,BTCUSDT
62007.99,62173.01,61900.0,61990.0,522.43205,61894.99986237966,62040.97419002963,-145.9743276499721,72.00121033658252,61790.24250000001,62545.248625367225,61035.23637463279,357.3778571428629,87.702720260753,52.21721159087469,546.6499771428571,-2614.545,357.37785714285775,1.3,"['RSI (72.00) im Trigger [55, 80]', 'ADX (357.38) im Trigger [20, 999]']",1,BTCUSDT
61990.0,62088.38,60833.33,60879.0,1851.0634,61737.644188566024,61945.40457432353,-207.76038575750863,41.879496434216044,61702.51399999999,62452.65763700764,60952.37036299234,383.80142857143073,3.3460571914194412,55.500615441488556,734.4976942857144,-4465.6084,383.80142857142863,0.5,"['ADX (383.80) im Trigger [20, 999]']",0,BTCUSDT
60879.01,61288.0,60387.0,60912.01,3779.61996,61609.90366766343,61861.09939895894,-251.19573129551281,40.30937936778087,61617.01399999999,62313.79112085218,60920.2368791478,419.87214285714435,28.986539459574864,34.72750410088991,1207.477815714286,-685.9884400000001,419.8721428571428,0.5,"['ADX (419.87) im Trigger [20, 999]']",0,BTCUSDT
60912.01,61015.5,60450.0,60576.0,1471.63779,61450.07944866037,61757.04107718459,-306.96162852422276,25.24316274729702,61546.46349999999,62361.245723258326,60731.681276741656,412.82928571428783,10.434955444390827,24.91601978747473,1351.590737142857,-2157.62623,412.82928571428573,0.5,"['ADX (412.83) im Trigger [20, 999]']",0,BTCUSDT
60575.99,60840.0,60174.54,60243.97,1887.75774,61263.77242695853,61635.36265774677,-371.5902307882425,25.221497638725324,61489.3615,62490.299382572826,60488.42361742717,418.6892857142884,3.430878399745314,22.833515153254975,1545.7664971428571,-4045.38397,418.6892857142858,0.5,"['ADX (418.69) im Trigger [20, 999]']",0,BTCUSDT
60243.97,60628.24,59920.0,60246.0,2092.03786,61106.65563982417,61524.33700233487,-417.68136251070246,21.52417511954765,61426.74500000001,62571.652711923096,60281.837288076924,454.3964285714319,14.309417000985714,20.40286733612439,1726.8177185714287,-1953.34611,454.39642857142877,0.5,"['ADX (454.40) im Trigger [20, 999]']",0,BTCUSDT
